specification,contrast,outcome,effect_ms,ci_low_ms,ci_high_ms,p_value,subjects,episodes
sta_individualized,ischemic_vs_baseline,mean_abs_resid_ms,7.154861183099718,4.516291521148867,9.793430845050569,1.065047717557175e-06,62,1571
sta_individualized,hr_vs_baseline,mean_abs_resid_ms,2.7518752395247112,0.4086565960560584,5.095093882993364,0.02299464150151218,29,478
sta_individualized,ischemic_vs_hr,mean_abs_resid_ms,5.965517187633495,1.482507402511282,10.448526972755708,0.009724711948499663,78,2049
sta_individualized,ischemic_vs_baseline,mean_signed_resid_ms,-3.156026629980729,-7.2130556303361235,0.9010023703746657,0.12499128288366022,62,1571
sta_individualized,hr_vs_baseline,mean_signed_resid_ms,-1.3507505097997454,-5.090313566622118,2.388812547022627,0.4655221399023686,29,478
sta_individualized,ischemic_vs_hr,mean_signed_resid_ms,-3.0085650159959805,-8.917225304848847,2.900095272856886,0.31430736983835666,78,2049
stb_expanded_grid,ischemic_vs_baseline,mean_abs_resid_ms,7.305312212795765,4.494006561458143,10.116617864133387,2.695548009043536e-06,59,1026
stb_expanded_grid,hr_vs_baseline,mean_abs_resid_ms,4.156710346070701,1.78477466765049,6.528646024490913,0.0013784320473552343,25,220
stb_expanded_grid,ischemic_vs_hr,mean_abs_resid_ms,4.3550645805099,-0.8832266723287132,9.593355833348514,0.10135933744113164,75,1246
stb_expanded_grid,ischemic_vs_baseline,mean_signed_resid_ms,-2.7727602144567407,-7.201068267290095,1.6555478383766133,0.21510225729957178,59,1026
stb_expanded_grid,hr_vs_baseline,mean_signed_resid_ms,-2.3505298888180475,-5.576071846905453,0.8750120692693586,0.14562500834283582,25,220
stb_expanded_grid,ischemic_vs_hr,mean_signed_resid_ms,0.0610313150210704,-7.18030590472864,7.302368534770781,0.9866323813938294,75,1246
stb_fixed_120s,ischemic_vs_baseline,mean_abs_resid_ms,7.688792887733999,5.689108625540753,9.688477149927245,2.1721539148695338e-10,58,810
stb_fixed_120s,hr_vs_baseline,mean_abs_resid_ms,7.515169711462452,3.2290866558692786,11.801252767055626,0.0013718333079148874,25,157
stb_fixed_120s,ischemic_vs_hr,mean_abs_resid_ms,3.0669404725206384,-2.9619132287959795,9.095794173837255,0.31100392251918324,74,967
stb_fixed_120s,ischemic_vs_baseline,mean_signed_resid_ms,-5.402937917771511,-9.684470530296338,-1.1214053052466832,0.014305488596157108,58,810
stb_fixed_120s,hr_vs_baseline,mean_signed_resid_ms,-9.350288549376844,-15.726301494958115,-2.9742756037955713,0.005824280442140135,25,157
stb_fixed_120s,ischemic_vs_hr,mean_signed_resid_ms,0.15235198510309722,-8.406040333651008,8.710744303857203,0.9716769341612197,74,967
stb_fixed_180s,ischemic_vs_baseline,mean_abs_resid_ms,8.494704021405486,6.323853673015146,10.665554369795826,1.9534570253053166e-10,54,630
stb_fixed_180s,hr_vs_baseline,mean_abs_resid_ms,7.858925703475904,3.4051683729592526,12.312683033992556,0.0014274862768386576,22,130
stb_fixed_180s,ischemic_vs_hr,mean_abs_resid_ms,1.6407453251908493,-4.875038556374342,8.15652920675604,0.6132653630263819,71,760
stb_fixed_180s,ischemic_vs_baseline,mean_signed_resid_ms,-7.533873928715273,-11.772767995875977,-3.2949798615545696,0.0007807941095721206,54,630
stb_fixed_180s,hr_vs_baseline,mean_signed_resid_ms,-10.041886980906636,-16.47443075914244,-3.609343202670832,0.0038627441007772277,22,130
stb_fixed_180s,ischemic_vs_hr,mean_signed_resid_ms,-2.803359588044322,-11.64333865752705,6.036619481438405,0.5264394586492794,71,760
stb_fixed_30s,ischemic_vs_baseline,mean_abs_resid_ms,7.538970773705768,4.32849265465822,10.749448892753316,1.5811544352674395e-05,61,1117
stb_fixed_30s,hr_vs_baseline,mean_abs_resid_ms,4.1135400917100755,1.024788884795222,7.202291298624929,0.011097332856894833,26,227
